r.nm	G.of.r	g.of.r
0.65	500.24	2.03849
0.651	472.044	1.97845
0.652	440.002	1.91063
0.653	404.551	1.83598
0.654	366.165	1.7555
0.655	325.34	1.67024
0.656	282.59	1.58128
0.657	238.432	1.4897
0.658	193.377	1.39657
0.659	147.923	1.30289
0.66	102.543	1.20965
0.661	57.6812	1.11775
0.662	13.7455	1.02802
0.663	-28.8966	0.941188
0.664	-69.9212	0.857906
0.665	-109.05	0.778722
0.666	-146.049	0.704089
0.667	-180.732	0.634367
0.668	-212.954	0.569824
0.669	-242.613	0.510646
0.67	-269.642	0.45694
0.671	-294.01	0.408745
0.672	-315.715	0.36604
0.673	-334.783	0.32875
0.674	-351.259	0.29676
0.675	-365.209	0.269916
0.676	-376.71	0.248038
0.677	-385.852	0.230926
0.678	-392.736	0.21836
0.679	-397.466	0.210112
0.68	-400.151	0.205944
0.681	-400.908	0.205612
0.682	-399.851	0.208866
0.683	-397.103	0.215454
0.684	-392.787	0.225116
0.685	-387.029	0.23759
0.686	-379.961	0.252604
0.687	-371.72	0.269879
0.688	-362.447	0.289128
0.689	-352.289	0.310054
0.69	-341.4	0.332347
0.691	-329.942	0.35569
0.692	-318.078	0.379755
0.693	-305.972	0.404222
0.694	-293.813	0.428722
0.695	-281.771	0.452924
0.696	-270.025	0.476483
0.697	-258.75	0.499062
0.698	-248.118	0.520334
0.699	-238.294	0.539985
0.7	-229.432	0.557725
0.701	-221.676	0.573287
0.702	-215.15	0.586439
0.703	-209.963	0.596983
0.704	-206.203	0.604763
0.705	-203.934	0.609667
0.706	-203.196	0.61163
0.707	-204.003	0.610639
0.708	-206.342	0.60673
0.709	-210.175	0.599991
0.71	-215.434	0.590559
0.711	-222.028	0.57862
0.712	-229.84	0.564407
0.713	-238.728	0.548196
0.714	-248.531	0.530302
0.715	-259.067	0.511075
0.716	-270.14	0.49089
0.717	-281.527	0.47017
0.718	-293.004	0.449338
0.719	-304.332	0.428844
0.72	-315.263	0.409151
0.721	-325.541	0.390735
0.722	-334.904	0.374081
0.723	-343.084	0.359678
0.724	-349.814	0.34802
0.725	-354.822	0.339599
0.726	-357.835	0.334907
0.727	-358.583	0.334434
0.728	-356.797	0.33866
0.729	-352.21	0.348056
0.73	-344.565	0.363081
0.731	-333.612	0.384172
0.732	-319.111	0.411744
0.733	-300.842	0.446178
0.734	-278.603	0.487816
0.735	-252.218	0.536953
0.736	-221.543	0.593823
0.737	-186.47	0.658589
0.738	-146.937	0.731336
0.739	-102.931	0.812052
0.74	-54.4966	0.900626
0.741	-1.74259	0.996827
0.742	55.1541	1.1003
0.743	115.942	1.21057
0.744	180.294	1.327
0.745	247.803	1.44883
0.746	317.981	1.57517
0.747	390.263	1.70497
0.748	464.012	1.83707
0.749	538.521	1.97019
0.75	613.026	2.10294
0.751	686.711	2.23387
0.752	758.728	2.36146
0.753	828.203	2.48415
0.754	894.261	2.6004
0.755	956.034	2.70869
0.756	1012.69	2.80755
0.757	1063.43	2.89561
0.758	1107.54	2.97163
0.759	1144.36	3.0345
0.76	1173.36	3.08331
0.761	1194.09	3.11733
0.762	1206.23	3.13605
0.763	1209.6	3.1392
0.764	1204.12	3.12672
0.765	1189.87	3.09881
0.766	1167.05	3.05588
0.767	1136.01	2.99858
0.768	1097.18	2.92776
0.769	1051.13	2.84445
0.77	998.51	2.74984
0.771	940.05	2.64525
0.772	876.549	2.53213
0.773	808.847	2.41196
0.774	737.813	2.2863
0.775	664.326	2.15669
0.776	589.259	2.02466
